departure,arrival,flight_number,departure_time,arrival_time,remarks,period
FUK,OKA,JTA 065,20:50,22:35,1月5日5分早発12月1～25日5分早発(到着は同時刻)12月26日～1月4日5分遅着,20251026_20260105
FUK,OKA,JTA 053,09:30,11:30,1月6～31日5分早着,20260106_20260228
FUK,OKA,JTA 057,13:00,15:00,,20260106_20260228
FUK,OKA,JTA 061,15:45,17:35,,20260106_20260228
FUK,OKA,JTA 063,17:35,19:25,,20260106_20260228
FUK,OKA,JTA 2063,19:45,21:35,1月6～31日運航,20260106_20260228
FUK,OKA,JTA 065,20:45,22:35,1月6～31日5分早着,20260106_20260228
FUK,OKA,JTA 053,09:35,11:30,3月1～12日5分早発,20260301_20260328
FUK,OKA,JTA 057,13:00,14:55,,20260301_20260328
FUK,OKA,JTA 061,15:45,17:30,,20260301_20260328
FUK,OKA,JTA 063,17:20,19:10,3月1～12日15分遅発,20260301_20260328
FUK,OKA,JTA 065,20:50,22:35,,20260301_20260328
FUK,CTS,JAL 3513,11:55,14:10,,20251026_20260105
FUK,CTS,JAL 3515,14:25,16:40,,20251026_20260105
FUK,CTS,JAL 3513,11:55,14:10,,20260106_20260228
FUK,CTS,JAL 3515,14:25,16:40,,20260106_20260228
FUK,CTS,JAL 3513,11:55,14:10,,20260301_20260328
FUK,CTS,JAL 3515,14:25,16:40,,20260301_20260328
FUK,ITM,JAL 2056J-AIR運航,14:35,15:45,,20251026_20260105
FUK,ITM,JAL 2058J-AIR運航,17:00,18:10,12月1日～1月5日5分早着,20251026_20260105
FUK,ITM,JAL 2060J-AIR運航,18:35,19:50,12月1日～1月5日5分遅着,20251026_20260105
FUK,ITM,JAL 2056J-AIR運航,14:35,15:45,,20260106_20260228
FUK,ITM,JAL 2058J-AIR運航,17:00,18:05,,20260106_20260228
FUK,ITM,JAL 2060J-AIR運航,18:35,19:55,,20260106_20260228
FUK,ITM,JAL 2056J-AIR運航,14:40,15:50,,20260301_20260328
FUK,ITM,JAL 2058J-AIR運航,17:00,18:05,,20260301_20260328
FUK,ITM,JAL 2060J-AIR運航,18:35,19:50,,20260301_20260328
ITM,HND,JAL 104,07:30,08:40,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
ITM,HND,JAL 106,08:30,09:35,10月26日～11月30日5分早発(到着は同時刻),20251026_20260105
ITM,HND,JAL 110,09:35,10:40,,20251026_20260105
ITM,HND,JAL 112,10:45,11:55,12月26日～1月5日15分早発,20251026_20260105
ITM,HND,JAL 114,11:30,12:40,,20251026_20260105
ITM,HND,JAL 116,12:30,13:40,,20251026_20260105
ITM,HND,JAL 118,13:40,14:50,,20251026_20260105
